id,label
6163,0.771792
4466,0.991984
11057,0.999210
2443,0.000000
11156,0.000000
2927,0.999999
1021,0.000164
9158,0.003190
2751,0.990196
5782,1.000000
4453,0.000155
2236,0.000033
3110,0.999005
3365,0.886987
9414,1.000000
6928,0.999980
10913,0.009730
9873,0.999990
4830,0.000000
1418,0.000000
8058,0.999995
6179,0.000000
10708,0.000000
5700,1.000000
3084,0.000000
4695,0.000000
7539,0.000000
2533,1.000000
5343,0.999999
10709,1.000000
8704,0.000000
8699,0.913375
11988,0.025593
6520,0.000000
10752,0.615214
5993,0.996381
7620,0.000000
913,0.306043
866,1.000000
976,0.000000
5871,0.004270
6968,0.000000
10936,0.998962
4516,1.000000
212,0.999976
9029,0.000990
2174,0.999968
10945,0.000000
5101,0.999985
6632,0.437888
5985,1.000000
6472,0.000000
504,0.000000
6966,0.000000
4422,0.999998
5953,0.000000
1681,0.000000
2306,0.999419
4753,0.000000
7812,0.986002
11484,0.000000
3955,1.000000
12275,1.000000
450,0.999959
9210,0.000000
7092,0.000000
44,1.000000
12102,0.000000
11847,0.000027
6828,0.729861
2403,0.999958
1106,1.000000
4843,0.998393
2867,0.993316
1356,0.999995
6244,0.511580
7301,0.000000
4715,0.999997
7624,0.000000
5093,0.007174
546,0.000177
3283,0.000000
10587,0.999995
878,0.997647
10110,1.000000
4258,0.999995
4426,0.970432
8344,0.998743
9099,0.999360
9839,0.999998
1299,0.000000
7200,1.000000
9181,0.999034
10757,0.000000
4804,0.999821
4393,1.000000
3806,0.999994
6643,0.999999
918,0.979784
9648,0.000000
4099,0.999999
1333,0.999992
4398,0.000000
971,0.999373
1879,0.000000
4014,0.000000
3265,0.000000
8645,0.999991
1171,0.000000
3120,0.998589
374,0.000000
2837,0.000000
7593,0.000000
3552,0.999999
8556,0.977497
1625,0.961800
9638,0.000000
1910,0.998333
498,0.988745
10010,0.999993
1041,0.000000
9658,0.000000
9767,0.000000
542,0.999997
3631,0.855182
5927,0.000000
10060,1.000000
2291,0.999972
7808,0.000000
5180,0.999994
3372,1.000000
5694,0.017387
3554,1.000000
2606,0.985787
4888,0.000009
3723,0.000000
6829,0.000000
8751,0.000000
8518,0.882243
12223,0.000000
3944,0.000001
11881,0.518036
9281,1.000000
6481,0.985770
9275,1.000000
6900,0.000000
12379,1.000000
1457,1.000000
5239,1.000000
3830,0.000000
11742,0.000000
1792,0.000000
559,1.000000
6034,0.000000
5448,0.993377
2409,0.999975
5667,0.999998
1261,1.000000
8859,0.000000
2455,0.000022
9758,1.000000
12467,0.000080
10348,0.554695
4211,0.000000
8791,0.193345
3958,0.000000
1150,0.000000
11335,0.999942
775,0.000000
1434,1.000000
9741,0.000000
5263,0.000000
2886,0.000000
8862,0.996669
535,0.000000
8280,1.000000
7993,0.918154
6308,0.000000
6670,1.000000
12287,1.000000
4321,0.999430
1187,0.000000
2653,0.000000
8475,0.000000
4319,1.000000
11766,1.000000
12093,0.000000
6728,0.999995
6578,0.000000
7197,0.000000
8691,0.703833
4862,0.693013
698,0.000000
4613,0.000000
3602,0.000000
5819,0.999999
3348,0.000000
8878,0.999618
473,1.000000
5664,0.000000
9211,0.000000
1530,0.996378
8651,1.000000
8973,0.999661
7775,1.000000
3058,0.000002
8702,0.934756
11675,0.000000
1738,0.000000
6609,0.000127
11341,0.999994
9698,0.999999
9513,0.999816
4986,1.000000
3478,1.000000
5143,0.686161
2052,0.999664
12082,0.999985
9326,1.000000
5917,1.000000
9905,0.000000
397,1.000000
8210,0.000000
1663,0.000000
1665,0.000000
11247,0.999999
5925,0.999997
12001,0.999979
4656,0.983964
362,0.000000
5307,0.964252
825,0.000000
2065,0.999831
11876,0.000000
10195,0.999973
7431,1.000000
110,0.999999
9567,0.999951
7480,0.010109
2816,0.000000
8584,0.000000
11338,0.000000
7448,1.000000
10180,0.000000
10382,0.000000
5761,0.000000
2431,0.999306
3674,0.996277
4928,0.000000
9178,0.000000
7814,1.000000
12113,0.999565
3536,0.999998
2828,0.000000
4759,0.000000
2508,0.000153
9194,0.000022
11175,0.999920
8875,0.000000
7493,0.998975
838,0.000000
2697,1.000000
10192,0.994156
7688,0.000000
3389,0.000000
10260,0.000000
5482,0.000000
9459,0.000000
5555,0.999997
9883,0.000000
4214,0.000000
5731,0.006416
2092,1.000000
4625,0.000203
7421,0.940036
9307,0.000038
3577,0.000000
8552,0.035312
6236,0.999961
3385,0.999953
7012,0.000000
3469,0.999994
7300,0.999999
12219,0.999973
6025,0.999996
7807,1.000000
5991,0.000000
8277,0.000000
2579,1.000000
9280,1.000000
2193,0.487665
4424,0.999895
5581,0.999998
736,0.999729
2682,0.999076
5861,0.000000
896,0.000000
4541,1.000000
7613,1.000000
9534,1.000000
4747,0.999988
10145,0.000000
10967,0.000220
1354,0.000000
7507,0.000000
3423,0.000000
5786,0.000000
2871,1.000000
1040,1.000000
10255,0.999951
6691,0.000000
7062,0.000000
3450,0.000000
2713,0.164928
2648,0.998770
10778,0.000000
10028,0.000099
10003,0.984709
5559,0.999995
6589,0.999984
4473,1.000000
551,0.006069
3039,0.987210
7160,0.000000
2371,0.000000
809,1.000000
6306,0.999449
11635,0.874658
341,0.000000
6356,0.979007
10019,0.000000
11499,0.000000
3387,0.000000
850,0.000000
2215,0.999997
10897,0.996889
5023,0.000000
11841,1.000000
5538,0.000000
3349,0.000000
10250,0.000000
1867,0.000000
9501,1.000000
2903,0.002963
6341,0.999990
2733,0.000000
8142,0.999867
10829,1.000000
10576,0.000000
10450,0.000000
1508,0.999966
7271,0.999995
1637,1.000000
447,0.000000
9058,0.025986
6547,0.000000
5796,0.999998
9664,0.900059
2657,0.000062
10481,0.000000
789,1.000000
4964,0.000000
8247,0.000000
8226,0.000000
2909,0.000000
4979,0.996999
11321,0.999998
7396,0.000000
4032,1.000000
6205,0.000000
10870,0.000000
3772,0.999883
12083,0.000000
4290,1.000000
8201,0.999552
5864,0.001371
10233,0.999564
712,0.999737
2272,0.999999
9300,0.906808
5550,0.999986
4721,0.000000
10396,0.908622
4172,0.000000
6590,0.999816
10341,0.000000
11241,0.961688
8896,0.000000
12335,0.000000
9054,0.923237
7404,1.000000
10579,0.661396
4154,0.000000
7806,0.000000
10676,0.000000
728,0.000000
2661,0.999999
2643,1.000000
948,0.000000
9344,1.000000
3643,0.000025
12290,1.000000
2815,0.000000
1822,0.000000
54,0.000000
653,0.000000
1384,0.751340
1537,1.000000
8818,0.999999
9948,0.000000
11951,0.999999
3420,1.000000
8159,0.711379
2074,0.000000
2325,0.999963
4988,1.000000
4925,0.000000
7067,0.000000
3319,0.000000
8715,0.999967
2986,0.000000
8007,0.000000
6883,0.327942
3308,1.000000
10112,0.000000
6414,0.000000
9721,0.000000
5185,0.000000
10951,1.000000
8614,0.000016
5922,0.999996
4642,0.995279
12260,0.887965
1907,0.000000
4978,0.000000
12153,0.994768
3899,1.000000
10362,0.000000
2945,0.999999
6644,0.000000
